CODIGO,NOMBRE,DEPARTAMENTO_CENTRO,MUNICIPIO_CENTRO,SECTOR,ZONA,Total matricula inicial
10001,"CENTRO ESCOLAR  ""ISIDRO MENENDEZ""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,1
10002,"CENTRO ESCOLAR ""ALFREDO ESPINO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,486
10003,"CENTRO ESCOLAR ""ALEJANDRO DE HUMBOLDT""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,740
10004,"CENTRO ESCOLAR ""1° DE JULIO DE 1823""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,850
10005,"INSTITUTO NACIONAL ""SANTA RITA""",CHALATENANGO,SANTA RITA,PUBLICO,Urbana,49
10006,"CENTRO ESCOLAR ""RICARDO TRIGUEROS DE LEON""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,532
10007,"CENTRO ESCOLAR ""CARLOTA LEON VIUDA DE TRIGUEROS""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,345
10008,"ESCUELA DE EDUCACION PARVULARIA ""MARIA SALAZAR VIUDA DE MAGAÑA""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,531
10010,"CENTRO ESCOLAR ""CASERIO PUERTAS NEGRAS""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,74
10011,"CENTRO ESCOLAR ""CANTON LOS HUATALES""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,234
10012,"CENTRO ESCOLAR ""BERNARDINO E. ZAMORA""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,279
10013,"COMPLEJO EDUCATIVO ""GENERAL FABIO MORAN""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,819
10014,"CENTRO ESCOLAR ""ISABEL CARRILLO DE BOLAÑOS""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,384
10015,"CENTRO ESCOLAR ""PROFESOR RICARDO ARGUETA LINARES""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,600
10016,"CENTRO ESCOLAR ""CANTON EL ROBLE""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,237
10017,"CENTRO ESCOLAR ""CANTON EL JUNQUILLO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,234
10018,"CENTRO ESCOLAR ""COLONIA LA PISTA""",USULUTAN,SANTA MARIA,PUBLICO,Rural,18
10019,"CENTRO ESCOLAR ""CANTON ASHAPUCO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,195
10020,"CENTRO ESCOLAR ""CANTON LA COYOTERA""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,37
10021,"CENTRO ESCOLAR ""CANTON SUNTECUMAT""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,78
10022,"CENTRO ESCOLAR ""CANTON LOS MAGUEYES""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,1
10023,"CENTRO ESCOLAR ""DOCTOR RENE VIRGILIO CORNEJO GRANADOS""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,788
10024,"CENTRO ESCOLAR ""CANTON PALO PIQUE""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,237
10025,"CENTRO ESCOLAR ""CANTON RIO FRIO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,368
10026,"CENTRO ESCOLAR ""ABELINA ARRIAZA""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,120
10027,"COMPLEJO EDUCATIVO ""DOCTOR RAFAEL MEZA DELGADO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,396
10029,"CENTRO ESCOLAR ""CASERIO EL BOTADERO",,,,,
10031,"COMPLEJO EDUCATIVO ""DOCTOR ARTURO ROMERO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,1
10032,"CENTRO ESCOLAR ""CANTON SANTA ROSA ACACALCO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,231
10033,COMPLEJO EDUCATIVO  HACIENDA LA LABOR,AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,717
10035,"CENTRO ESCOLAR ""HERMANO FRANCISCO RIVAT""",LA LIBERTAD,COLON,PUBLICO,Rural,343
10037,"CENTRO ESCOLAR ""CASERIO LAS CHINITAS",,,,,
10038,"CENTRO ESCOLAR ""COLONIA SANTA MARIA""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,720
10039,"CENTRO ESCOLAR ""CANTON LA DANTA""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,211
10041,"CENTRO ESCOLAR ""COLONIA SAN GENARO""",SONSONATE,SONSONATE,PUBLICO,Urbana,25
10042,"CENTRO ESCOLAR ""CANTON SAN LAZARO""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,119
10044,"CENTRO ESCOLAR ""CASERIO  RANCHO GRANDE",,,,,
10045,"CENTRO ESCOLAR ""HACIENDA ZACAMIL""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,120
10048,"CENTRO ESCOLAR ""COLONIA LAS VICTORIAS""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,171
10049,"INSTITUTO NACIONAL ""SAN MIGUEL DE MERCEDES""",CHALATENANGO,SAN MIGUEL DE MERCEDES,PUBLICO,Urbana,84
10050,"CENTRO ESCOLAR ""NUEVO LOURDES""",LA LIBERTAD,COLON,PUBLICO,Rural,1
10051,"CENTRO ESCOLAR ""RESIDENCIAL LA PRADERA II""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,504
10052,"INSTITUTO NACIONAL ""ALEJANDRO DE HUMBOLDT""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Urbana,1
10053,"INSTITUTO NACIONAL ""LUIS REYNALDO TOBAR""",AHUACHAPAN,AHUACHAPAN,PUBLICO,Rural,311
10056,"ESCUELA DE EDUCACION PARVULARIA ""DE APANECA""",AHUACHAPAN,APANECA,PUBLICO,Urbana,154
10057,"CENTRO ESCOLAR ""CIUDAD CREDISA""",SAN SALVADOR,SOYAPANGO,PUBLICO,Urbana,582
10058,"INSTITUTO NACIONAL ""DE SACACOYO""",LA LIBERTAD,SACACOYO,PUBLICO,Urbana,177
10059,INSTITUTO NACIONAL CANTON CARA SUCIA,AHUACHAPAN,SAN FRANCISCO MENENDEZ,PUBLICO,Rural,387
10060,"INSTITUTO NACIONAL ""LICENCIADO JOSE DANIEL CARIAS""",AHUACHAPAN,APANECA,PUBLICO,Urbana,135
10061,"CENTRO ESCOLAR ""GENERAL FRANCISCO MENENDEZ""",AHUACHAPAN,APANECA,PUBLICO,Urbana,525
10062,COMPLEJO EDUCATIVO CANTON IZCAQUILIO,AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,523
10063,"CENTRO ESCOLAR ""CANTON EL SALITRERO""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,242
10064,"CENTRO ESCOLAR ""LOMAS DE ALARCON""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,285
10065,"INSTITUTO NACIONAL ""COLONIA VALLE DEL SOL""",SAN SALVADOR,APOPA,PUBLICO,Urbana,194
10066,"CENTRO ESCOLAR ""CANTON RINCON GRANDE""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,151
10067,"CENTRO ESCOLAR ""CANTON SAN JUAN EL ESPINO""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,144
10068,"CENTRO ESCOLAR ""VISTA AL LAGO""",SAN SALVADOR,ILOPANGO,PUBLICO,Urbana,242
10069,"CENTRO ESCOLAR ""FRAY MARTIN DE PORRES""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,58
10070,"CENTRO ESCOLAR ""CASERIO EL JICARO",,,,,
10071,"CENTRO ESCOLAR ""CANTON EL TORTUGUERO""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,118
10073,"INSTITUTO NACIONAL ""CORNELIO AZENON SIERRA""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Urbana,594
10074,"CENTRO ESCOLAR ""COLONIA LAS VIÑAS",,,,,
10075,"CENTRO ESCOLAR ""CANTON JOYA DEL ZAPOTE""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,60
10076,"CENTRO ESCOLAR ""GENERAL FRANCISCO MENENDEZ""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Urbana,936
10077,"CENTRO ESCOLAR ""MERCEDES MONTERROSA DE CARCAMO""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Urbana,924
10078,"CENTRO ESCOLAR ""MANUEL ALVAREZ MAGAÑA""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Urbana,527
10079,"COMPLEJO EDUCATIVO ""ANTONIO JOSE DE SUCRE""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Urbana,276
10080,"CENTRO ESCOLAR ""EXALTACION POMPILIO SALGADO RIVERA""",SAN MIGUEL,SAN MIGUEL,PUBLICO,Urbana,995
10081,"ESCUELA DE EDUCACION PARVULARIA ""PROFESORA CORDELIA AVALOS DE LABOR""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Urbana,427
10082,"CENTRO ESCOLAR ""CANTON LA ESPERANZA""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,40
10083,"CENTRO ESCOLAR ""CANTON  JOYA DEL PLATANAR""",AHUACHAPAN,ATIQUIZAYA,PUBLICO,Rural,86
10084,"CENTRO ESCOLAR ""URBANIZACION MONTELIMAR""",LA PAZ,OLOCUILTA,PUBLICO,Urbana,498
10085,"CENTRO ESCOLAR ""CANTON SHUCUTITAN""",AHUACHAPAN,CONCEPCION DE ATACO,PUBLICO,Rural,204
10086,"CENTRO ESCOLAR ""LA CAMPANERA""",SAN SALVADOR,SOYAPANGO,PUBLICO,Urbana,105
10087,"CENTRO ESCOLAR ""CANTON LOS TABLONES""",AHUACHAPAN,CONCEPCION DE ATACO,PUBLICO,Rural,95
10088,"INSTITUTO NACIONAL ""CANTON LAS PILAS""",CHALATENANGO,SAN IGNACIO,PUBLICO,Rural,64
10089,"INSTITUTO NACIONAL  DE COATEPEQUE""",SANTA ANA,COATEPEQUE,PUBLICO,Urbana,236
10090,"CENTRO ESCOLAR ""CANTON  JOYA DE LOS APANTES""",AHUACHAPAN,CONCEPCION DE ATACO,PUBLICO,Rural,31
10091,"ESCUELA DE EDUCACION PARVULARIA ""DE CONCEPCION DE ATACO""",AHUACHAPAN,CONCEPCION DE ATACO,PUBLICO,Urbana,68
10092,"CENTRO ESCOLAR ""EL SAUCE""",SONSONATE,SONZACATE,PUBLICO,Urbana,1
10093,INSTITUTO NACIONAL DE SONZACATE,SONSONATE,SONZACATE,PUBLICO,Urbana,617
10094,"CENTRO ESCOLAR ""CANTON LA CEIBA ABAJO""",AHUACHAPAN,CONCEPCION DE ATACO,PUBLICO,Rural,62
10095,"COMPLEJO EDUCATIVO ""ANTONIO J. ALFARO""",AHUACHAPAN,CONCEPCION DE ATACO,PUBLICO,Urbana,1
10096,"CENTRO ESCOLAR ""SAN ANTONIO""",SAN SALVADOR,SOYAPANGO,PUBLICO,Rural,391
10097,"CENTRO ESCOLAR ""FRANCISCO GAVIDIA""",AHUACHAPAN,EL REFUGIO,PUBLICO,Urbana,1
10098,"CENTRO ESCOLAR ""COLONIA EL ANGEL""",AHUACHAPAN,EL REFUGIO,PUBLICO,Rural,114
10099,CENTRO ESCOLAR DE GUAYMANGO,AHUACHAPAN,GUAYMANGO,PUBLICO,Urbana,924
10101,"CENTRO ESCOLAR ""CANTON PLATANARES""",AHUACHAPAN,GUAYMANGO,PUBLICO,Rural,582
10102,INSTITUTO NACIONAL DE ARCATAO,CHALATENANGO,ARCATAO,PUBLICO,Urbana,37
10103,INSTITUTO NACIONAL DE YAMABAL,MORAZAN,YAMABAL,PUBLICO,Urbana,94
10104,"CENTRO ESCOLAR ""COLONIA SANTA CRISTINA""",USULUTAN,USULUTAN,PUBLICO,Urbana,39
10105,"CENTRO ESCOLAR ""HACIENDA SAN MARTIN Y LARIN""",AHUACHAPAN,GUAYMANGO,PUBLICO,Rural,270
10106,"CENTRO ESCOLAR ""FUNDACION CESSA""",SANTA ANA,METAPAN,PUBLICO,Urbana,35
10107,"CENTRO ESCOLAR "" LA GAVIOTA Nº 2""",USULUTAN,JIQUILISCO,PUBLICO,Rural,19
